,Tweet Posted Time (UTC),Tweet Content,Tweet Location
746850,28/05/2020,@masc_up Bernie the change can be made  I know the cure for the coronavirus  and I will only talk with you  you want the edge  this is it  I think you are the best candidate and will be the best President this country has seen in well John Kennedy,Sikkim
746851,28/05/2020,Exactly  now Twitter is greater concern than coronavirus.,Sikkim
746852,28/05/2020,I rest my case #coronavirus #COVID19,Sikkim
746853,28/05/2020,There's no certainty that all of them died of coronavirus.,Sikkim
746854,28/05/2020,Dedicated to the American Indian population for their high numbers of Coronavirus outbreaks. Thank you  Joan Baez Blowin' In The Wind (2020) https://youtu.be/DfFwuO0ZPvY via @YouTube,Sikkim
746855,28/05/2020,What 2020 is not !!! Corona Virus  Quarantine and the killing of more Black lives ?!!!! #BlackLivesMatter #AllLivesMatter #ICantBreath #JusticeForGeorgeFloyd #GeorgeFloyd #corona #Quarantine #2020,Sikkim
746856,28/05/2020,Move over murder hornets: Thx to coronavirus  we now have to worry about cannibal rats. CDC warns of âunusual or aggressiveâ behavior in U.S. rats~a consequence of 2+ mos of human lockdown for city-dwelling rats who now are unable to dine on restaurant waste  street garbage  etc.,Sikkim
746857,28/05/2020,We're not going to see millions of Americans die of coronavirus this year. That was a fear that helped trigger a market meltdown. That's what we avoided.,Sikkim
746858,28/05/2020,Coronavirus live updates: Sweden's economic sentiment ticks up; #SasAirlines looks for more funding https://www.cnbc.com/2020/05/27/coronavirus-live-updates.html,Sikkim
746859,28/05/2020,"@nytimes report #Covid19 in #Indonesia: ""A random sampling of 11 555 people in #Surabaya found that 10 percent of those tested had antibodies for the coronavirus. Yet the entire province of East Java had 4 313 officially confirmed cases as of Thursday."" ",Sikkim
746860,28/05/2020,Coronavirus: Packed New York parks are âslap in face to medics dying on frontlinesâ  says ER doctor | The Independent ,Sikkim
779262,03/06/2020,#G7 Economic Group born out of #1970EnergyCrisis. It became redundant and outdated as it failed to prevent #2008EconomicCrisis &amp; economic fiasco arised due to #CoronaVirus. It must be restructured to #G11 by including India  Aus  Russia &amp; S.Korea for avoiding collapse of Economy,Sikkim
